EnterovirusA	HumancoxsackievirusA16266/Toyama/2002	3
EnterovirusB	EnterovirusYanbian96-85csf	1
EnterovirusC	CoxsackievirusA11	79
Humanenterovirus	Humanenterovirus	2
EnterovirusC	CoxsackievirusA19	604
EnterovirusA	HumancoxsackievirusA16460/Toyama/2007	1
EnterovirusB	HumancoxsackievirusA9B	1
Enterovirus14	Enterovirus14	11
EnterovirusstrainIGIB-NIV-02	EnterovirusstrainIGIB-NIV-02	102
EnterovirusA	Humanenterovirus71HZ08/Hangzhou/2008	7
EnterovirusB	EchovirusE11	15
EnterovirusB	EnterovirusB111	7
EnterovirusD	EnterovirusD	7
EnterovirusC	CoxsackievirusA1	1131
EnterovirusB	Echovirus9strainHill	6
EnterovirusB	Echovirus9strainBarty	91
EnterovirusA	CoxsackievirusA2	1
EnterovirusA	CoxsackievirusA3	1
EnterovirusB	EchovirusE19	3
EnterovirusB	EchovirusE32	36
EnterovirusA	HumancoxsackievirusA16355/Toyama/2005	27
EnterovirusA	CoxsackievirusA5	7
EnterovirusC151_oct11_cons	EnterovirusC151_oct11_cons	27
EnterovirusB	CoxsackievirusB3	583
EnterovirusA	CoxsackievirusA6	80
EnterovirusB	EnterovirusStuttgart97	205
HumanenterovirusLZY53	HumanenterovirusLZY53	3
EnterovirusA	EnterovirusA121	9
EnterovirusA	CoxsackievirusA8	48
EnterovirusE	enterovirusE5	1
EnterovirusC	HumancoxsackievirusA20a	1
EnterovirusD	enterovirusD94	25
EnterovirusB	EnterovirusB86	42
EnterovirusC	EnterovirusC99	1
EnterovirusB	EnterovirusB87	231
EnterovirusB	EnterovirusB88	10
EnterovirusB	EchovirusE8	1
EnterovirusB	EchovirusE9	1
HumanrhinovirusA2039_171204	HumanrhinovirusA2039_171204	4
EnterovirusA	HumancoxsackievirusA16927/Toyama/1998	4
EnterovirusA	EnterovirusA	11
Coxsackievirus	Coxsackievirus	2
EnterovirusA	HumancoxsackievirusA16419/Toyama/2006	37
EnterovirusC	CoxsackievirusA22	1289
HumanrhinovirushRVLz13	HumanrhinovirushRVLz13	8
EnterovirusA	CoxsackievirusA16	1
EnterovirusB	EnterovirusB101	4
HumanechovirusAMS721	HumanechovirusAMS721	20
HumanenterovirusK1105_171204	HumanenterovirusK1105_171204	3
EnterovirusB	EnterovirusB106	122
EnterovirusB	EchovirusE21	113
EnterovirusB	EchovirusE27	5
EnterovirusB	CoxsackievirusA9	3
EnterovirusA	CoxsackievirusA16(strainCVA16-GZ)	98
EnterovirusB	EnterovirusB93	32
EnterovirusB	Echovirus1(strainFarouk/ATCCVR-1038)	2
ChimpanzeeenterovirusCPS-2011	ChimpanzeeenterovirusCPS-2011	5
HumanechovirusAMS573	HumanechovirusAMS573	158
EnterovirusB	EnterovirusB98	8
